scrape_timestamp,ASIN,Title,Product_URL,Image,Price,Rating,Reviews_Count,Seller_Snippet,Result_Type
2025-11-15T11:26:47.726081,B0DZDDQ429,,,https://m.media-amazon.com/images/I/71pKJ+Mjd8L._AC_UY218_.jpg,93900,4.6,,"FREE delivery Mon, 17 Nov Or fastest delivery Tomorrow, 16 Nov",Ad
2025-11-15T11:26:47.733497,B0FG2RJ9NC,,,https://m.media-amazon.com/images/I/7156bBh8W2L._AC_UY218_.jpg,40990,3.8,,"FREE delivery Mon, 17 Nov",Ad
2025-11-15T11:26:47.739841,B0F5B1N9SJ,,,https://m.media-amazon.com/images/I/71dyfY6G0aL._AC_UY218_.jpg,64990,3.9,,"FREE delivery Mon, 17 Nov Or fastest delivery Tomorrow, 16 Nov",Organic
2025-11-15T11:26:47.745749,B0CJ2KWNNQ,,,https://m.media-amazon.com/images/I/618zAXbM4uL._AC_UY218_.jpg,66490,3.8,,Save extra with No Cost EMI Save extra with No Cost EMI,Organic
2025-11-15T11:26:47.751511,B0FVK43HNK,,,https://m.media-amazon.com/images/I/712-6ezZiPL._AC_UY218_.jpg,51411,5.0,,"FREE delivery Tue, 18 Nov Or fastest delivery Tomorrow, 16 Nov",Organic
2025-11-15T11:26:47.758111,B0FDBLR2HT,,,https://m.media-amazon.com/images/I/712cUkgrVnL._AC_UY218_.jpg,32490,4.6,,"FREE delivery Mon, 17 Nov Or fastest delivery Tomorrow, 16 Nov",Organic
2025-11-15T11:26:47.764121,B0DZDDQ429,,,https://m.media-amazon.com/images/I/71pKJ+Mjd8L._AC_UY218_.jpg,93900,4.6,,"FREE delivery Mon, 17 Nov Or fastest delivery Tomorrow, 16 Nov",Organic
2025-11-15T11:26:47.771695,B0D5DFR78J,,,https://m.media-amazon.com/images/I/61nTNphSBvL._AC_UY218_.jpg,65990,4.1,,Save extra with No Cost EMI Save extra with No Cost EMI,Organic
2025-11-15T11:26:47.777138,B0FVKZYH6L,,,https://m.media-amazon.com/images/I/71CZUpFopWL._AC_UY218_.jpg,48490,5.0,,"FREE delivery Tue, 18 Nov Or fastest delivery Tomorrow, 16 Nov",Organic
2025-11-15T11:26:47.783547,B0F4R6H3NB,,,https://m.media-amazon.com/images/I/71Z4mSII9BL._AC_UY218_.jpg,52490,3.8,,"FREE delivery Tue, 18 Nov Or fastest delivery Tomorrow, 16 Nov",Organic
2025-11-15T11:26:47.790730,B0DSFQZTVW,,,https://m.media-amazon.com/images/I/710ChwsODKL._AC_UY218_.jpg,59990,3.9,,"FREE delivery Mon, 17 Nov Or fastest delivery Tomorrow, 16 Nov",Ad
2025-11-15T11:26:47.798677,B0F637DPFW,,,https://m.media-amazon.com/images/I/71Q6JmLZE7L._AC_UY218_.jpg,55990,4.0,,"FREE delivery Mon, 17 Nov Or fastest delivery Tomorrow, 16 Nov",Ad
2025-11-15T11:26:47.804251,B0D7PSTHRD,,,https://m.media-amazon.com/images/I/61Y8j1QN5YL._AC_UY218_.jpg,22990,3.4,,"FREE delivery Mon, 17 Nov Or fastest delivery Tomorrow, 16 Nov",Organic
2025-11-15T11:26:47.809689,B0CWTYGPH8,,,https://m.media-amazon.com/images/I/513p8BwV-RL._AC_UY218_.jpg,29890,3.9,,"FREE delivery Mon, 17 Nov Or fastest delivery Tomorrow, 16 Nov",Organic
2025-11-15T11:26:47.814986,B0FKB8G6ZT,,,https://m.media-amazon.com/images/I/61tIAw23VeL._AC_UY218_.jpg,84990,,,"FREE delivery Wed, 19 Nov Or fastest delivery Tomorrow, 16 Nov",Organic
2025-11-15T11:26:47.820657,B0CL7CMTXS,,,https://m.media-amazon.com/images/I/61AccNkmFFL._AC_UY218_.jpg,26990,4.1,,"FREE delivery Mon, 17 Nov Or fastest delivery Tomorrow, 16 Nov",Organic
2025-11-15T11:26:47.826355,B0CM6GVR56,,,https://m.media-amazon.com/images/I/710Natr3OFL._AC_UY218_.jpg,29990,4.0,,"FREE delivery Sun, 23 Nov",Organic
2025-11-15T11:26:47.832549,B0DSL4R3DL,,,https://m.media-amazon.com/images/I/61XOR7fpbVL._AC_UY218_.jpg,73490,4.0,,"FREE delivery Mon, 17 Nov Or fastest delivery Tomorrow, 16 Nov",Organic
2025-11-15T11:26:47.839209,B0CGVLLWT3,,,https://m.media-amazon.com/images/I/61zWFTCfWeL._AC_UY218_.jpg,12990,3.2,,"FREE delivery Mon, 17 Nov Or fastest delivery Tomorrow, 16 Nov",Organic
